THREAD 140537537476160: 2 moves possible after move #9; creating threads...
THREAD 140536228869696: 3 moves possible after move #9; creating threads...
THREAD 140538678326848: 2 moves possible after move #6; creating threads...
THREAD 140538669934144: 2 moves possible after move #8; creating threads...
THREAD 140538686719552: 3 moves possible after move #7; creating threads...
THREAD 140536983819840: 3 moves possible after move #7; creating threads...
THREAD 140536094651968: 2 moves possible after move #10; creating threads...
THREAD 140536069473856: 2 moves possible after move #7; creating threads...
THREAD 140535826216512: 2 moves possible after move #12; creating threads...
THREAD 140535708718656: 3 moves possible after move #9; creating threads...
THREAD 140535675147840: 3 moves possible after move #9; creating threads...
THREAD 140535574435392: 3 moves possible after move #11; creating threads...
THREAD 140536857994816: 2 moves possible after move #10; creating threads...
THREAD 140540414764608: 2 moves possible after move #6; creating threads...
THREAD 140536589559360: 2 moves possible after move #11; creating threads...
THREAD 140536497305152: 2 moves possible after move #9; creating threads...
THREAD 140536363087424: 2 moves possible after move #8; creating threads...
THREAD 140538191779392: 2 moves possible after move #10; creating threads...
THREAD 140536992212544: 2 moves possible after move #8; creating threads...
THREAD 140538644756032: 2 moves possible after move #8; creating threads...
THREAD 140536883172928: 2 moves possible after move #7; creating threads...
THREAD 140537805911616: 2 moves possible after move #8; creating threads...
THREAD 140539450095168: Thread [140537940129344] joined from multiple (returned 7)
THREAD 140538602792512: 3 moves possible after move #7; creating threads...
THREAD 140537545868864: 3 moves possible after move #7; creating threads...
THREAD 140537000605248: 2 moves possible after move #9; creating threads...
THREAD 140536455341632: 2 moves possible after move #8; creating threads...
THREAD 140538653148736: 2 moves possible after move #9; creating threads...
THREAD 140537931736640: 2 moves possible after move #8; creating threads...
THREAD 140536631522880: 3 moves possible after move #9; creating threads...
THREAD 140535448544832: 2 moves possible after move #11; creating threads...
THREAD 140536312731200: 2 moves possible after move #8; creating threads...
THREAD 140535431759424: 2 moves possible after move #10; creating threads...
THREAD 140537554261568: 3 moves possible after move #9; creating threads...
THREAD 140535591220800: 2 moves possible after move #11; creating threads...
THREAD 140538619577920: 3 moves possible after move #7; creating threads...
THREAD 140538627970624: 2 moves possible after move #9; creating threads...
THREAD 140536891565632: 3 moves possible after move #7; creating threads...
THREAD 140537562654272: 2 moves possible after move #8; creating threads...
THREAD 140537017390656: 2 moves possible after move #8; creating threads...
THREAD 140538225350208: 3 moves possible after move #7; creating threads...
THREAD 140538216957504: 2 moves possible after move #11; creating threads...
THREAD 140536212084288: 2 moves possible after move #8; creating threads...
THREAD 140537143215680: 2 moves possible after move #8; creating threads...
THREAD 140536463734336: 2 moves possible after move #11; creating threads...
THREAD 140535750682176: 2 moves possible after move #8; creating threads...
THREAD 140536052688448: 2 moves possible after move #10; creating threads...
THREAD 140535398188608: 2 moves possible after move #9; creating threads...
THREAD 140537252255296: 2 moves possible after move #10; creating threads...
THREAD 140537797518912: 2 moves possible after move #8; creating threads...
THREAD 140537965307456: 2 moves possible after move #8; creating threads...
THREAD 140537789126208: 3 moves possible after move #7; creating threads...
THREAD 140535448544832: Thread [140536337909312] joined from multiple (returned 14)
THREAD 140537956914752: 2 moves possible after move #9; creating threads...
THREAD 140535960434240: 3 moves possible after move #9; creating threads...
THREAD 140537948522048: 2 moves possible after move #10; creating threads...
THREAD 140537025783360: 2 moves possible after move #10; creating threads...
THREAD 140535608006208: 2 moves possible after move #8; creating threads...
THREAD 140535373010496: 2 moves possible after move #8; creating threads...
THREAD 140535683540544: 2 moves possible after move #9; creating threads...
THREAD 140536606344768: 2 moves possible after move #10; creating threads...
THREAD 140536488912448: 2 moves possible after move #10; creating threads...
THREAD 140536866387520: 2 moves possible after move #12; creating threads...
THREAD 140534810699328: 2 moves possible after move #12; creating threads...
THREAD 140536354694720: 2 moves possible after move #8; creating threads...
THREAD 140535414974016: 2 moves possible after move #10; creating threads...
THREAD 140535759074880: 2 moves possible after move #9; creating threads...
THREAD 140535826216512: Thread [140535717111360] joined from multiple (returned 14)
THREAD 140535582828096: 2 moves possible after move #10; creating threads...
THREAD 140534970160704: 2 moves possible after move #8; creating threads...
THREAD 140535515686464: 2 moves possible after move #12; creating threads...
THREAD 140535549257280: 2 moves possible after move #12; creating threads...
THREAD 140535742289472: 2 moves possible after move #8; creating threads...
THREAD 140535633184320: 2 moves possible after move #11; creating threads...
THREAD 140535675147840: Thread [140535339439680] joined from multiple (returned 10)
THREAD 140535616398912: 2 moves possible after move #9; creating threads...
THREAD 140535230334528: 2 moves possible after move #12; creating threads...
THREAD 140537814304320: 2 moves possible after move #9; creating threads...
THREAD 140535297476160: 2 moves possible after move #7; creating threads...
THREAD 140537520690752: 2 moves possible after move #12; creating threads...
THREAD 140537294218816: 2 moves possible after move #10; creating threads...
THREAD 140534709986880: 2 moves possible after move #9; creating threads...
THREAD 140537269040704: 2 moves possible after move #10; creating threads...
THREAD 140537277433408: 2 moves possible after move #7; creating threads...
THREAD 140536195298880: 3 moves possible after move #9; creating threads...
THREAD 140537160001088: 2 moves possible after move #10; creating threads...
THREAD 140534760343104: 2 moves possible after move #12; creating threads...
THREAD 140538636363328: 3 moves possible after move #7; creating threads...
THREAD 140537151608384: 2 moves possible after move #10; creating threads...
THREAD 140537126430272: 2 moves possible after move #10; creating threads...
THREAD 140534307137088: 2 moves possible after move #8; creating threads...
THREAD 140536874780224: 2 moves possible after move #8; creating threads...
